EFECTIVO,CXC,INVENTARIO,EQ_OFICINA,EQ_TRANSPORTE,TERRENOS_Y_CONSTRUCCIONES,CXP,CONTRIBUCIONES_X_PAGAR,ANTICIPOS_CTE,CAP_SOCIAL,UTILIDADES_ACUMULADAS,UTILIDAD_O_PERDIDA,TOTAL_VENTAS,TOTAL_COMPRAS,UTILIDAD_BRUTA,TOTAL_GASTOS
112211.3366,11754358.13,3287775.747,423340.4711,176766.8297,4397205.252,17393306.57,176731.2673,,1539162.702,2978687.131,-4219661.562,22199479.95,31102939.18,10263358.57,
737157.0424,35042226.83,,2692766.783,877224.2707,,,703513.5531,,3323601.727,,,91910665.51,198574937.3,28155132.77,35262068.46
4019484.241,,,1710832.726,846122.6492,,76755572.96,680566.1321,,,14308916.66,-3730905.761,,266897817.3,41522261.75,39465060.85
17178.77161,72010.72625,3348954.869,,38217.05866,8709403.985,707759.5251,83340.10943,242909.7955,1757148.806,-13382702.6,-5847221.565,1204274.289,4070979.435,27274.1452,417445.7597
1125420.076,10912804.52,9547285.707,2032449.02,1209412.116,5079103.973,14310932.52,,5957324.139,,,-1385737.85,64058957.77,19818029.76,,9020125.156
478780.3208,21873016.17,16187973.99,10517845.5,,7882470.775,42160758.72,795557.7334,1370381.973,2797027.87,5982367.09,-216081.7649,,32974897.14,30663693.53,31276661.93
117205.9614,5395855.71,1014623.052,704836.5586,66895.67517,89478.70972,9221835.156,55137.74729,1732466.586,1247.957108,14779624.61,-7675057.818,22401630.34,11321560.82,291382.4726,1081337.788
870303.2151,12582606.44,3548.391395,1018833.75,,-13579822.78,3501016.458,202200.4224,,1294935.069,,-77126.81015,19241372.86,11480363.28,5184224.968,10469404.12
86416.90624,4707900.216,4320282.414,741762.603,196357.1945,7526118.454,15325674.17,129532.2356,,565664.4905,-7422944.484,-2975052.396,16128671.63,30805557.77,17700221.31,
978903.1719,29474331.12,29564936.13,705900.9693,,5480713.177,,429452.1112,3230057.288,5364918.742,9125091.774,-2779358.473,165196628.3,49683378.27,25766258.48,25957721.18
,1676067.727,,273407.6003,2736461.419,-577262,4659462.834,42221.25711,481292.8367,367115.6488,-2960625.496,-346936.6206,87236675.24,76310625.5,14581493.62,10459157.5
6128822.453,27815646.44,,5641362.331,2333825.138,-6404448.963,23624487.92,535132.6225,4510697.565,2171820.902,15267673.49,-1157633.913,196010532.1,,14614312.02,21065411.56
357320.0198,,21290792.44,177234.1455,129714.3589,7081284.244,24722723.89,247954.2759,125115.7688,7839391.38,,-1240566.142,23179413.45,,40849692.71,45369397.74
137703.498,,72971978.24,550253.4838,1628163.554,8577306.767,124923299.8,237000.9211,7687764.883,1570015.275,20850808.31,-5421626.204,499506625.8,93594095.97,40292561.38,25209013.26
162941.775,8774467.95,8843830.848,,546774.6894,6719815.964,,,937125.9882,109183.7975,5038068.972,-3964934.454,75421761.88,29452054.52,13979854.44,11425317.74
1182821.727,14517997.94,44485180.69,452715.8006,1703270.738,7070052.909,,,,4902955.451,-1799489.6,,132593109.7,237462857.9,37102930.45,36003341.34
,24904109.73,90294694.9,232319.6477,860896.7408,7643612.097,73141669.82,835861.9279,16300706.47,13745704.65,12987397.56,-1055217.786,,32793743.3,48796722.23,24729336.06
12861443.56,52219245.64,38318169.85,11379192.37,4163885.882,896938.6007,89201853.91,640374.244,6438916.555,7372388.277,12255164.54,-431645.8681,461722306,251278379.7,51588795.5,50927814.22
470525.6573,30783355.11,37000497.62,1058052.312,,,61221895.77,,,,-735728.6556,-3753746.636,125528415.2,209217354.6,34243338.81,40645231.7
59278.97974,2434623.817,16730354.59,18696.83645,123664.5132,7548041.47,7469286.377,127151.9714,1250825.376,757259.4255,3422158.438,-6863538.745,43738221.78,21432198.53,1855081.27,2151453.67
98665.31385,30696121.37,42709653.34,1579580.58,682755.8797,8681993.124,80578197.25,530962.5084,1672092.532,1491277.824,9309401.091,-7465477.154,151853821.6,162474346.2,16585286.58,23804521.23
85804.41663,168650.8976,580.696059,80824.41895,527922.9468,-4797332.698,48728.83797,133822.0172,57854.97604,1577752.045,-2272688.425,1133996.414,,,,1972339.957
6096323.985,61372163.97,23431439.01,23131861.88,5050605.443,-3916694.34,96059727.18,369505.3417,11366309.35,2652960.424,11830365.19,-3099349.427,,1431763514,76453717.15,41204965.93
844148.3526,7425002.282,1954568.932,2235731.2,2484445.835,,17205489.72,105949.3414,,1415542.33,845936.3104,-2477977.483,73074445.92,,8081909.129,11728129.2
411635.9495,13609649.58,12177565.32,139091.2717,145238.006,1568640.733,15131420.1,688098.549,3591075.248,4091662.952,12543349.1,,42599701.54,53270076.47,2380774.891,6539748.573
2517705.071,38450357.65,7048240.167,14254747.99,2928274.161,-5130292.52,52436707.85,,2679412.258,950467.1327,,-3374514.263,196954159.8,477862598.2,35013993.83,33537640.7
48766.28243,5315989.467,7876447.963,,8257.677502,8056432.828,12894301.39,322989.1799,,2141766.64,659067.086,-5793883.869,8472837.411,7328149.808,3194807.266,5263681.508
186464.1825,3029874.55,4759.705063,2080829.907,1621471.824,-9184258.317,496215.102,111110.5655,435421.5233,3391.149063,,,34761573,8464339.223,,2324311.455
112368.1988,3472673.746,1736203.78,1191547.263,435644.9174,5797939.146,8412183.676,127799.5681,216995.1308,167089.8311,-491919.0262,-1250658.129,26025199.44,13395712.6,12714614.95,10857438.85
902746.8252,1139053.721,5119676.241,24054.26811,259138.5343,-512708.2918,1451812.723,79983.08626,575352.0459,4506373.768,-6257955.87,,14664830.07,29370985.94,1549138.708,5935709.011
34499.7398,5736524.048,9852078.198,569933.7301,134003.39,7637135.076,18596318.67,824258.9985,3836113.22,195408.5549,15641677.81,-8055650.611,29983928.03,,2641797.81,2331088.241
605806.2461,46181231.51,61275645.25,660970.7169,3670349.988,4487997.692,42862312.58,971991.672,649655.0321,,19765989.16,-4142444.26,395518207.4,,69249879.18,59386771.76
66096.5831,1037084.338,,43596.37619,382053.5875,7394752.192,4344739.168,105636.0236,3121668.736,,,-7168594.009,31265107.65,25533041.01,401174.2278,801565.9194
44130.34027,588026.9165,6036593.299,14004.01193,13850.0415,,3364818.505,329864.0535,679731.4738,11286787.71,-11075668.06,,3156391.967,3513860.031,3863932.642,3416391.003
5743688.099,90422203.64,56608634.72,,2524013.62,1881095.438,177703469.4,,12480941.91,8974040.67,19929975.23,-5716007.612,468534281.6,1214401833,62437906,55229857.82
347146.8128,8822875.689,499736.9051,956130.8928,,-4622821.023,5048699.065,92598.39916,923117.4348,321127.5185,6943659.464,492286.3385,,24577536.79,,9332467.304
1526063.83,3089346.863,612921.5146,402705.5187,2141921.829,-9716638.25,1882097.475,295652.7229,4357234.833,2118297.559,10434677.04,,64641958.99,,1621913.227,2688671.083
2733390.467,46566137.05,18393426.21,6399444.707,4013865.422,-3851192.303,76304679.2,424343.6292,8787062.145,1179484.716,24026333.76,-2971184.787,478478127.4,251308668,,
144148.9295,6664168.413,10613424.62,,1382797.251,,,66869.25062,1019276.84,848903.2287,5734757.535,-2834997.484,115429630,63894005.93,13571787.92,13020695.91
988436.124,67146190.03,27518814.5,8704491.817,439444.3624,1058794.325,97233685.3,1540995.955,7379340.601,572518.6127,24808371.72,-8377281.77,,366286873.8,17988989.55,
218022.138,8563516.781,1232926.024,292318.5765,346450.2489,-170673.5237,9445013.608,151642.8618,1087874.396,3181651.184,853843.4194,-2049326.171,18753728.47,30548035.25,10090115.02,10257863.93
12059142.34,64989887.78,6252100.432,60474995.85,2542987.568,-10537034.96,54259309.15,1213641.527,5739811.469,,19796718.66,-1266185.23,250841701.4,187748344.2,,37771935.69
99394.39067,9807569.137,8418411.658,70244.45421,201003.9308,3340164.639,19014297.48,,1726519.358,678536.1673,7376811.027,-6311199.065,47257832.46,61916937.96,,
2357179.893,24694591.68,969842.9554,5416010.438,1399078.374,,20292299.82,719777.6459,3501433.181,1545683.795,,-624784.6366,150290126.4,23603349.78,,14480953.05
109328.9067,,7111393.914,71751.34131,190336.7999,,3177095.924,106737.6741,1358621.914,466364.541,-3445750.843,-4407443.851,14900713.81,27006478.86,7878010.749,
341639.0796,7367311.024,1771967.723,223313.5007,99744.4528,-2536201.941,4179366.443,321595.9858,,1334952.38,,-3747588.496,14698000.97,20929410.09,,7871177.071
3408114.786,12569761.33,,775859.9956,801456.1088,,9917788.265,928542.7862,3418626.608,5042268.109,,-1309491.396,,,10218073.02,
,2202555.462,3525516.294,2385200.797,3916165.532,4470231.629,10355535.29,167934.9311,,7199067.722,-11707544.41,593175.2327,47966307.92,102506396.8,,21788838.9
250955.3488,17379158.09,,2534469.083,2145662.386,5308974.632,26062493.15,,553463.3605,1753901.203,7196321.108,-198938.5305,130629829.8,50045496.03,29972020.62,28670889.88
63854.88309,126243.6081,721133.6546,31071.05148,72682.87515,5828585.231,,34268.46099,122268.5807,,-13303506.24,-1730757.558,,4579871.548,1867452.853,1592470.823
,1361475.89,1319120.494,347395.6726,561422.1837,2751131.829,3031644.878,68102.81595,292922.1442,205342.2135,-1099048.881,-1256018.637,23774945.95,14296442.46,4965543.501,6327397.362
161069.9644,,1861320.672,2636514.761,2223317.065,3588172.528,20154479.83,229566.0531,484773.5558,,6361820.982,-1362091.12,90216672,67054267.52,17629762.03,
483177.5547,49547519.33,81637032.74,831336.202,750758.7346,8068714.064,123671523.3,,6051624.741,,12531705.18,-6735236.958,255216796.2,455166297.7,55290082.15,
1613924.721,47187533.82,13897557,25025974.65,4633430.917,-1136526.023,56102618.58,1366946.683,6972913.752,845420.2086,,-4852295.491,335832913.1,361431502.5,18503312.5,
214320.7911,30258484.28,,2827124.076,460754.1092,5636911.885,57334785.68,512094.2001,1730687.498,,,-5404127.547,80756885.71,132817163,33320527.83,26497577.41
2616795.599,5697044.892,18564021.27,401385.6288,1929500.208,606995.706,7781520.731,699045.7145,8093604.273,6728069.66,3349758.646,-1495316.578,98560459.44,76677185.52,13115899.86,8279874.971
12626458.38,70683756.55,38446525.79,,5017873.736,-5475598.727,134946297.7,2037862.278,,1478469.937,22194424.07,-8150923.669,,7601900176,43799068.35,31160591.07
73287.99738,341991.7537,38078.1193,359968.5824,464776.4521,2538391.493,431647.0037,75422.77374,240257.0797,233214.7605,,-1094082.445,4292527.841,5391566.629,938435.2988,
,486383.2984,773636.9473,354256.2704,514009.945,3509487.357,2773679.925,576637.1857,1739045.989,5177936.22,,-2842502.114,5230488.57,30933666.65,3971266.982,2712898.931
726489.2022,18747168.16,1663067.217,1126983.777,1448307.066,,9812230.319,931539.3253,1563168.68,1202392.846,21485708.38,-1189498.866,,38045080.55,12539771.73,
263698.7157,,1933263.724,835240.4492,194645.8161,3397756.026,12648693.96,434616.6334,,5084992.651,-1274291.075,-3112902.321,10987116.46,28023672.48,7122012.955,
161594.1442,2065651.686,945935.3012,,220343.5261,1745806.654,1958694.668,191776.3825,354741.9018,,4884191.05,395570.7953,29327506.56,2560728.882,5623524.05,
9209642.344,,14900923.82,,1533741.459,-11253140.34,42015473.21,301664.6564,3114955.315,6509296.824,18841421.84,-1436308.372,318239226.2,,27587627.36,37100410.84
2740057.775,26906539.97,27288282.19,1756884.841,571982.7614,3329134.787,53984774.35,,3574929.566,9340978.406,1929412.726,-3651913.646,77256947.51,238630485.3,34468526.14,35460533.8
,31336902.68,,,271968.9413,4639258.846,46110799.58,724770.7695,5346520.28,6998160.554,10379418.73,,151951902.1,,24934178.47,21332619.66
1608120.747,,8043302.212,15039852.53,5081947.318,-66351.24073,25248688.41,548745.8442,5753510.205,528098.2747,11689053.24,-1133888.122,220904849.6,150114577.1,,16396342.46
167336.7509,5263352.716,8232280.683,29899.68797,78075.21652,5104312.281,9513874.458,220198.1287,1791738.205,6100573.836,4067074.199,,31880658.49,8748505.831,,5344034.588
531290.5977,15825420.59,52100249.22,304885.9569,2024246.743,8141971.238,37796025.29,181246.9232,1816905.681,5804323.842,-2150524.635,,142100282.1,353432105.8,28839389.24,31411198.4
8727527.987,38894020.12,655461.6799,40202502.51,4353230.574,-12486218.04,26634595.16,956612.5943,,3705459.008,,,177656365,131385021.3,27570344.37,
,488008.0899,,337803.2356,,1190942.365,143226.2392,303758.2193,282251.8996,1066850.093,,-1913711.491,469195.3916,2629285.77,,
149482.2561,8737153.35,8238054.219,454964.1345,677853.652,7359303.234,14616965.48,158861.1813,,1336251.516,-7352.763224,-331084.7093,62324750.27,26767609.55,18959107.79,31597011.8
183939.6889,,,89330.86755,109511.2799,6101893.3,,64549.54782,1736482.538,,4633887.106,-5175857.148,,11834940.32,3067793.662,3568309.92
,5556988.89,2779.640847,5104283.314,1495054.137,-12658682.74,6101185.785,29118.38202,1027368.351,,10442974.77,-1724695.581,43875805.99,29634607.17,5585475.927,
125999.8672,1280226.907,4212951.761,528452.7018,1531527.497,6583557.669,,319263.6242,752040.1773,701101.9322,-381609.9466,-678913.3401,42524826.85,21409437.41,11117839.56,6674794.457
1832319.702,11692302.6,20876961.75,64659.51824,817880.867,39246.74483,16322222.26,342421.7562,1367076.892,9103343.791,,-1195611.004,,68461026.82,15981069.35,22848235.44
531450.1999,8682894.536,56982719.13,1039183.4,2405035.19,8668817.236,49082965.41,,,7028374.548,-1264142.721,-3990139.547,151437908.7,163562764.6,21455076.49,16907350.17
534004.5992,11115908.11,34734056.79,338156.6183,615917.2515,6526892.464,41876586.91,263131.4535,8728817.213,2585908.493,8274239.559,-6524801.753,115312907.5,99782659.21,11287049,8721062.458
,93544115.9,,9177117.671,2103455.076,1479960.952,119208628.6,1601497.344,8673909.788,,23904922.08,,477487064.6,371953457.3,73083980.79,58061382.3
4165293.409,20586821.69,9458700.113,2507687.894,2685419.592,-3595423.733,17034614.5,536343.6463,3778700.658,4522211.388,8683014.975,-1438110.454,147978734.1,118370959.3,11624181.57,19117431.17
2573437.127,50725000.73,19199970.19,370024.1843,1042308.05,,46466217.04,495260.9009,5627245.35,3554481.781,20836213.65,-3820494.092,287058947.1,209199303,,25322582
1049264.275,35084775,37216589.67,656134.7915,1019215.912,4499483.152,60932288.64,,4248676.339,,,-4269365.978,133184205.2,437512559.6,49680512.14,34612175.64
221044.2016,462202.2015,1697570.227,69996.87931,801397.1209,,1364559.738,76074.23932,17775.32283,3405649.612,,1179712.821,28912292.85,,15493385.15,18275099.11
15979.39081,6297.822966,,20570.39881,208541.1937,5028425.511,79547.44372,13504.0378,3647.917316,,-13941918.69,757053.6835,2654284.59,,,1333899.288
494549.3979,5831627.216,43201395.83,116633.0114,,,9348765.713,323710.5645,4315047.022,2796811.049,8966982.808,-3361179.921,192366750.7,68114698.91,,8137693.398
,7389477.265,5513604.11,134238.7021,897138.571,2284972.965,4874845.576,431087.006,1219613.669,3817239.943,5577102.136,-2473998.921,44001020.22,50955841.36,7902561.893,9635350.086
2596478.037,131935.4768,10283.42176,213824.0242,,-9021792.636,,91582.10741,,11493072.51,,1188261.884,2420260.438,7162051.301,2289191.379,3067068.181
420192.3407,773768.3572,1316386.817,,,1526944.387,796156.8398,,22825.90111,2578494.551,-11158268.62,-70621.45289,5163010.873,,3016167.161,10434630.18
,16769203.72,6911987.598,,3099018.072,-5294226.059,26290498.04,179737.7214,2549799.747,786409.7796,11870653.64,-2462603.461,192878264.5,235367051.4,18676197.1,20980732.27
104551.0881,,183641.7041,107868.5956,,6033086.642,240359.9862,,2447.867847,,-17536201.54,1178978,10646635.34,5381565.875,8404994.802,12149482.91
,11965526.2,,,336329.8292,2388128.86,27889864.86,124426.2694,1141489.217,1909127.992,-4092966.508,-867279.5361,44999416.65,20495385.89,21432776.54,18232350.1
1968683.72,6548820.793,10275.8939,15849570.57,4326246.985,-9711152.039,7345921.252,131015.4023,495277.615,1467010.518,,,64472473.42,35862165.12,24459091.37,20407629.05
2462961.994,,73035817.32,793102.1824,1931046.936,4526925.794,104986945,,8223511.001,,14326803.49,-4979320.303,371524898.9,923700566.1,65665469.76,45539333.95
13138670.6,86388735,2924098.217,25650007.75,2079865.726,,,,,10115078.62,16898251.58,874786.2135,269861599,175099217.2,121030623.6,64657212.93
7966600.763,19378596.86,9622482.215,6222180.993,,-6461756.314,22252918.74,,4245959.487,4351485.867,,-2794984.513,112432975.3,1656485910,24158089.66,28821369.31
2079329.381,12219336.91,2138346.256,,337866.6615,-8123704.286,15764342.98,1168348.741,5278196.012,13629699.96,7425825.884,,37481619.3,39345805.92,14208343.14,11984151.76
,72905864.06,65913490.59,12082308.52,2808182.561,4200568.659,124379170.6,1251292.042,,10371557.35,7802768.552,-4600962.766,,2335055337,79233603.16,
100173.2536,11795203.53,,,1659043.563,2576451.296,7663678.455,398652.3839,795152.3683,305146.3862,16919622.05,-2958906.7,132848702.6,37593648.99,8138176.072,9100249.606
,2547376.594,1418510.128,889279.3134,,1087341.7,10413106.77,46384.40703,218575.6618,634359.1073,-8648566.54,-1580642.989,29128245.79,165379355.9,18032447.34,
2584020.328,67219324.92,30335976.74,6354143.728,2982349.378,-4741793.781,83138092.87,520833.8614,10227090.08,522377.6838,28352033.43,-4946171.997,,541577874.5,50840590.14,32827479.41
190554.7703,6117705.342,3142819.481,,319900.9914,,20188835.24,28112.7538,2011660.773,150075.8881,2708930.735,-2696376.138,63647526.97,6985341.443,5993434.891,
595197.2355,20217221.61,11305551.15,6523819.458,1753147.938,6861513.909,37056421.94,672814.0526,1964428.921,,1380068.992,605940.3696,,26145207.14,,29958641.86
241981.9204,34452795.62,42592380.37,502204.0858,1148734.403,6052749.187,46863636.57,793370.3538,2276111.015,710847.1162,21629126.34,-7760087.029,230009752.9,,14041556.16,21702070.8
299870.43,3231931.845,29539053.14,47767.82084,,8117243.385,,102895.0052,83215.43697,6096634.447,-9951719.439,,29291792.02,230515174.4,7298514.157,27780425.69
7543671.034,64166643.24,12608904.81,18762690.49,891884.6385,,102477090.6,3085459.748,10266990.98,14678393.19,11487240.96,-2765948.235,,210408244.4,54611404.54,39375019
4996754.368,104489849.5,47420130.14,,1077273.638,296211.5395,162609981.6,1912302.948,22113743.14,,,-6723993.263,409616047.7,288953356.9,54439057.66,32404199.91
5007164.363,22418704.04,9596335.566,681545.5429,5807185.342,-8495108.014,,140706.1987,6739059.279,4157356.703,14688077.48,1036684.579,419661062.8,66223497.61,40934031.41,22870922.34
56597.88794,943402.6396,7037622.953,163346.9737,,8122909.664,12528163.66,191936.186,6671404.405,1335403.721,759323.9615,-8179059.996,12586550.99,17510828.48,125113.2946,260928.6441
6270653.106,88571605.86,,5440985.115,,-9351726.567,,418517.6596,2116820.325,1780095.321,23896977.75,-2171254.19,439401240.9,1125984353,85232579.59,73610957.08
451416.3179,7807473.991,,75141.5074,,7691762.921,26109467.78,185560.2556,3461573.012,,7580983.63,,228561640.5,27552944.42,15002949.17,13288629.08
2970139.735,12481215.59,19357721.59,967245.687,1690695.087,1678592.452,35156397.84,1102908.629,3824071.695,11844102.86,4133170.659,-3044400.993,114293319,273181857,,
58899.04969,56060.62712,,11247.82396,1173322.297,,230373.2338,91926.76878,85515.47077,,,-2293277.133,46840052.62,13742297.39,622618.2525,1719310.282
,1238577.74,6731355.059,297828.2969,523365.0055,7548794.625,3426068.511,125061.7219,129514.7287,530882.563,,-410556.584,27071230.92,11168952.88,8596751.244,11312868.65
297833.4821,8021889.477,5479336.051,398691.8111,1353237.593,2521963.09,13797435.32,,213459.8115,866008.3227,4715046.985,28362.66418,102466156.4,47592300.04,,25885729.83
61819.94045,969577.3604,18036703,114315.1656,128217.9876,8645983.581,,218269.0823,2190872.571,,-4256234.654,-4109490.124,17013136.88,8945021.419,5392212.22,3042732.499
99222.84047,12266134.03,14128584.26,179047.1187,523795.339,7291971.75,20817862.42,186383.051,,3896789.656,-1616596.644,-2180837.993,39646945.66,91792360.73,32395871.02,27349103.85
620758.6522,2097504.168,157803.9066,,,,4042065.493,169960.0364,1047685.995,1039093.593,-5545298.197,122731.0464,17098581.46,13432614.49,6636162.187,6193074.067
35480.99212,,1181807.318,,52078.15413,6093754.552,910535.1165,44141.65637,,474713.7757,-5376639.524,,11432577.19,2163726.947,,4903154.29
182687.3566,984634.191,45623.96072,969959.6897,,-833167.212,1570723.797,168499.8057,184022.7919,364169.1629,-2651398.377,-3408878.061,1766304.387,13244804.65,,3678769.133
,13227862.87,6013573.113,699370.4587,101407.079,4891800.661,24116807.61,,676793.0963,,-3238789.214,-1199936.375,,16351958.62,12371661.55,22878031.52
1745282.109,16906526.43,1426531.637,14252464.9,4997437.663,-6820798.384,29273758.27,248813.4858,5934580.218,321375.7116,16387127.35,-1494179.256,260407364.1,89525782.68,,
2110685.408,22388268.13,530568.6668,44818603.41,4230704.658,,,977383.3908,1989920.979,,,785591.3936,117962034.5,136540940.8,,30715610.56
266121.0377,4935643.971,13079499.35,250224.9299,982961.3831,6548339.093,8665909.765,159169.1214,680051.27,786615.7797,5755670.83,-3919229.336,,34568703.65,2383721.931,9093751.102
141922.3239,14588552.42,1951021.945,675821.8673,98454.15347,1700831.797,20575287.43,224484.5582,351265.8513,370158.6575,11210463.66,-4629768.541,38810067.15,18874023.4,7357787.524,12552036.13
1823622.579,12530747.73,180533.3586,1018632.672,3172132.554,-14510234.73,,,4855041.243,581374.6316,18527145.87,-2627494.005,128504351.8,160997705.5,8576690.209,5382398.41
103995.5406,4119753.599,,1245596.996,295194.1469,2431616.733,6160796.676,250036.6237,,212745.2591,8137904.835,-3810412.078,19523036.02,8276869.025,2181757.753,2527201.721
,,8213951.668,45519.18796,303965.4525,5022967.92,2255825.895,63565.73103,1995835.212,275070.2817,,-5511274.778,23002656.42,22458017.42,1210876.317,1141782.368
98899.19576,1905976.804,4457668.205,7386.427501,,3798732.062,2089638.773,,849365.7493,4962392.266,3166345.295,-335789.3911,27282817.21,3408912.728,5359504.737,4083151.424
23450570.28,29787286.08,2032545.811,7509907.244,7252673.454,-14518712.08,13585851.82,208466.1251,,,24191460.27,1184683.72,482223747.6,61234087.95,,39022253.08
,4232443.672,9037442.979,45149.2811,105605.6449,7171869.897,10435422.24,139311.6796,1176253.785,1199041.052,,,51651824.04,4494554.544,16103035.79,5972359.752
2924712.194,15667145.12,,127636.7138,550180.5337,,8756427.573,223589.6291,162127.6761,10853547.74,5775307.35,,114920057,5780330.826,48457555.23,38823570.71
78895.66791,666737.2933,2995269.181,65815.30295,224091.9619,7723049.154,4369128.004,,344099.9849,,-13868138.2,-33266.76535,9690606.95,6708576.503,9448192.668,6652244.773
164757.679,27336977.63,37255718.63,289003.9637,44374.81002,,66541016.69,199579.4149,,900449.015,,-6791996.965,104992602.1,37382308.92,22007536.46,17399654.18
38547.21733,1637712.118,209283.5442,262096.7116,67686.61369,5549805.656,1793062.237,331153.4467,67156.44223,1249847.173,-2552486.237,-2165105.033,2694276.985,5419213.465,2151485.375,4934071.269
395507.7282,10575818.43,12749119.88,255957.3184,,7400688.283,23990153.96,217474.5491,541323.8761,10163195.89,,792749.7283,67120648.6,8527565.559,29181876.46,28049008.06
,,3530436.372,865839.2428,630285.0992,7795155.573,,118362.374,647750.29,,,-4727552.922,16330166.1,17991013.13,1343221.412,2338680.022
98929.74073,,43286.84462,107667.1991,157727.0666,4731563.96,,,239873.0606,,,654769.4791,4989886.542,481227.6845,221938.3545,612572.3055
636439.6264,50695.53372,17530.28123,,26420.02822,-5354014.209,53083.16078,118951.9999,,,-14569081.58,854579.2109,325089.1302,1439286.283,1994924.457,1546285.333
2682285.258,27375963.31,10165350.58,3023424.13,2398211.379,,29976721.93,,3441557.722,5690759.867,14426853.62,-383267.4413,201236343,134057012.1,43814417.11,31359207.29
6341466.285,72137365.21,38859946.26,21811413.67,2271614.296,,88448617.1,1258138.964,,614231.5232,,-4936341.489,,608213472.2,57132557.89,44620503.1
317268.8494,28085234.25,48795564.57,1013264.901,1833112.222,8374118.292,82604229.78,229999.7215,2323546.428,6096706.962,-496016.7875,-1987179.04,181392634.3,,,47254762.49
478966.7012,7145445.122,,,431703.3474,4326910.246,21578769.84,245366.0903,,,6778042.789,-5196458.723,55835948.54,43327878.37,3049082.844,
193414.3332,866529.2092,,33762.70371,209018.722,-1865337.847,381696.6275,139428.3039,534746.431,,-39830.25121,789366.2158,14967362.74,2287243.49,5314850.287,3029327.002
593583.3302,894374.6874,,684257.1633,650702.0191,,1666276.416,98273.94837,432781.7142,346214.8364,-1101586.774,-8798.565194,25103953.22,5983576.579,,4831282.48
65836.44929,15468583.59,23761927.38,279135.89,343867.4765,7391702.322,31517243.15,267830.4229,,,19681286.49,-7499034.976,105083491.3,69154456.84,6036745.578,
,25092427.77,7387913.873,4598391.312,2445578.576,1584027.278,36676643,408955.3971,2234898.514,1477426.502,13551852.95,-1157558.982,187270726.1,,27418985.06,25589342.07
